Date,Ward_1_Cases,Ward_1_Cases_3D_Avg,Ward_1_Cases_1W_Avg,Ward_1_Cases_2W_Avg,Ward_2_Cases,Ward_2_Cases_3D_Avg,Ward_2_Cases_1W_Avg,Ward_2_Cases_2W_Avg,Ward_3_Cases,Ward_3_Cases_3D_Avg,Ward_3_Cases_1W_Avg,Ward_3_Cases_2W_Avg,Ward_4_Cases,Ward_4_Cases_3D_Avg,Ward_4_Cases_1W_Avg,Ward_4_Cases_2W_Avg,Ward_5_Cases,Ward_5_Cases_3D_Avg,Ward_5_Cases_1W_Avg,Ward_5_Cases_2W_Avg,Ward_6_Cases,Ward_6_Cases_3D_Avg,Ward_6_Cases_1W_Avg,Ward_6_Cases_2W_Avg,Ward_7_Cases,Ward_7_Cases_3D_Avg,Ward_7_Cases_1W_Avg,Ward_7_Cases_2W_Avg,Ward_8_Cases,Ward_8_Cases_3D_Avg,Ward_8_Cases_1W_Avg,Ward_8_Cases_2W_Avg
2020-06-17,1409.0,1404.0,1393.2857142857142,1362.2857142857142,551.0,550.0,544.5714285714286,537.0714285714286,462.0,458.0,455.7142857142857,448.07142857142856,2078.0,2071.3333333333335,2051.8571428571427,2010.2142857142858,1498.0,1491.0,1481.4285714285713,1457.9285714285713,854.0,848.3333333333334,840.0,820.3571428571429,1423.0,1417.0,1406.4285714285713,1379.2857142857142,1466.0,1456.6666666666667,1443.7142857142858,1411.0714285714287
2020-06-18,1414.0,1408.6666666666667,1399.2857142857142,1370.2857142857142,555.0,552.0,547.1428571428571,539.2142857142857,465.0,461.3333333333333,457.42857142857144,450.42857142857144,2091.0,2080.3333333333335,2062.1428571428573,2022.0,1502.0,1496.3333333333333,1486.2857142857142,1464.2142857142858,858.0,853.3333333333334,844.2857142857143,825.7857142857143,1432.0,1423.3333333333333,1413.4285714285713,1386.9285714285713,1472.0,1464.0,1451.0,1420.5
2020-06-19,1419.0,1414.0,1404.2857142857142,1377.857142857143,556.0,554.0,549.7142857142857,541.3571428571429,465.0,464.0,459.0,452.57142857142856,2100.0,2089.6666666666665,2072.0,2033.2142857142858,1507.0,1502.3333333333333,1491.4285714285713,1470.4285714285713,860.0,857.3333333333334,848.1428571428571,831.0,1435.0,1430.0,1419.142857142857,1394.0714285714287,1478.0,1472.0,1458.2857142857142,1429.357142857143
2020-06-20,1431.0,1421.3333333333333,1410.142857142857,1385.7857142857142,556.0,555.6666666666666,551.7142857142857,543.3571428571429,466.0,465.3333333333333,460.7142857142857,454.64285714285717,2108.0,2099.6666666666665,2080.714285714286,2044.142857142857,1513.0,1507.3333333333333,1496.5714285714287,1476.5,865.0,861.0,852.4285714285714,836.0,1436.0,1434.3333333333333,1423.2857142857142,1400.5714285714287,1480.0,1476.6666666666667,1464.0,1437.4285714285713
2020-06-21,1435.0,1428.3333333333333,1415.857142857143,1392.9285714285713,558.0,556.6666666666666,553.5714285714286,545.5,467.0,466.0,462.42857142857144,456.7142857142857,2113.0,2107.0,2089.4285714285716,2054.785714285714,1517.0,1512.3333333333333,1501.7142857142858,1482.5,877.0,867.3333333333334,857.8571428571429,841.6428571428571,1439.0,1436.6666666666667,1427.5714285714287,1406.857142857143,1486.0,1481.3333333333333,1469.4285714285713,1445.0714285714287
2020-06-22,1441.0,1435.6666666666667,1421.7142857142858,1399.9285714285713,560.0,558.0,555.1428571428571,547.5,469.0,467.3333333333333,464.42857142857144,458.57142857142856,2123.0,2114.6666666666665,2097.8571428571427,2064.714285714286,1521.0,1517.0,1506.7142857142858,1488.142857142857,879.0,873.6666666666666,863.0,846.9285714285714,1446.0,1440.3333333333333,1432.2857142857142,1412.7857142857142,1489.0,1485.0,1475.0,1451.857142857143
2020-06-23,1447.0,1441.0,1428.0,1406.7142857142858,564.0,560.6666666666666,557.1428571428571,549.7142857142857,469.0,468.3333333333333,466.14285714285717,460.2142857142857,2127.0,2121.0,2105.714285714286,2073.8571428571427,1527.0,1521.6666666666667,1512.142857142857,1493.857142857143,882.0,879.3333333333334,867.8571428571429,851.5714285714286,1453.0,1446.0,1437.7142857142858,1418.642857142857,1493.0,1489.3333333333333,1480.5714285714287,1458.357142857143
2020-06-24,1448.0,1445.3333333333333,1433.5714285714287,1413.4285714285713,572.0,565.3333333333334,560.1428571428571,552.3571428571429,470.0,469.3333333333333,467.2857142857143,461.5,2133.0,2127.6666666666665,2113.5714285714284,2082.714285714286,1529.0,1525.6666666666667,1516.5714285714287,1499.0,887.0,882.6666666666666,872.5714285714286,856.2857142857143,1456.0,1451.6666666666667,1442.4285714285713,1424.4285714285713,1498.0,1493.3333333333333,1485.142857142857,1464.4285714285713
2020-06-25,1455.0,1450.0,1439.4285714285713,1419.357142857143,575.0,570.3333333333334,563.0,555.0714285714286,470.0,469.6666666666667,468.0,462.7142857142857,2136.0,2132.0,2120.0,2091.0714285714284,1532.0,1529.3333333333333,1520.857142857143,1503.5714285714287,891.0,886.6666666666666,877.2857142857143,860.7857142857143,1457.0,1455.3333333333333,1446.0,1429.7142857142858,1502.0,1497.6666666666667,1489.4285714285713,1470.2142857142858
2020-06-26,1459.0,1454.0,1445.142857142857,1424.7142857142858,577.0,574.6666666666666,566.0,557.8571428571429,472.0,470.6666666666667,469.0,464.0,2143.0,2137.3333333333335,2126.1428571428573,2099.0714285714284,1540.0,1533.6666666666667,1525.5714285714287,1508.5,899.0,892.3333333333334,882.8571428571429,865.5,1459.0,1457.3333333333333,1449.4285714285713,1434.2857142857142,1503.0,1501.0,1493.0,1475.642857142857
